Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-05-18 10:48:47,,UTC-07:00,91,51,108,32.90,97.08,,,,,2024-05-18 10:48:47,2024-05-18 19:50:00,82,12.8,475,541,261,79,135,66,577,116,89,67
2024-05-17 12:35:23,2024-05-18 10:48:47,UTC-07:00,85,49,110,32.93,95.10,5.5,1572,125,71,2024-05-17 12:35:23,2024-05-17 19:51:49,68,12.6,392,433,181,78,133,41,572,111,90,69
2024-05-16 14:02:05,2024-05-17 12:35:23,UTC-07:00,71,54,97,33.40,94.38,4.4,1553,123,70,2024-05-16 14:02:05,2024-05-16 19:55:51,59,12.5,325,353,170,55,100,28,549,87,92,63
2024-05-15 12:40:13,2024-05-16 14:02:05,UTC-07:00,84,54,97,33.50,93.67,6.0,1771,138,70,2024-05-15 12:40:13,2024-05-15 20:00:30,67,13.0,349,440,169,89,91,91,524,63,81,48
2024-05-14 15:16:27,2024-05-15 12:40:13,UTC-07:00,87,61,99,33.70,92.08,5.0,1499,128,75,2024-05-14 15:16:27,2024-05-14 19:49:57,67,13.2,258,273,170,40,48,15,384,118,94,32
2024-05-13 15:09:13,2024-05-14 15:16:27,UTC-07:00,42,61,85,33.30,94.67,5.8,1716,132,75,2024-05-13 15:09:13,2024-05-13 19:49:55,49,14.0,230,280,110,71,49,50,467,0,82,40
2024-05-12 13:31:26,2024-05-13 15:09:13,UTC-07:00,82,55,92,33.90,94.78,8.9,2023,153,70,2024-05-12 13:31:26,2024-05-13 00:02:03,100,12.5,586,628,283,104,199,42,558,95,93,47
2024-05-11 11:12:19,2024-05-12 13:31:26,UTC-07:00,89,56,98,33.47,94.92,6.9,1890,133,75,2024-05-11 11:12:19,2024-05-11 19:49:59,75,13.3,445,516,220,91,134,71,593,127,86,64
2024-05-10 14:04:51,2024-05-11 11:12:19,UTC-07:00,31,66,64,33.12,96.30,7.9,1598,152,81,2024-05-10 14:04:51,2024-05-10 19:52:23,52,13.2,307,345,139,75,93,38,587,93,88,77
2024-05-09 14:04:28,2024-05-10 14:04:51,UTC-07:00,60,61,79,33.70,94.38,14.9,2522,182,86,2024-05-09 14:04:28,2024-05-09 20:09:46,64,13.5,336,365,137,77,122,29,522,61,92,66
2024-05-08 13:41:43,2024-05-09 14:04:28,UTC-07:00,75,59,87,33.70,97.21,5.4,1710,122,76,2024-05-08 13:41:43,2024-05-08 19:54:42,74,13.2,341,372,153,84,104,31,463,0,91,56
2024-05-07 08:54:11,2024-05-08 13:41:43,UTC-07:00,91,58,96,33.61,95.20,7.0,2086,123,73,2024-05-07 08:54:11,2024-05-07 21:46:36,100,13.1,630,772,293,146,191,142,567,105,81,38
2024-05-06 12:54:29,2024-05-07 08:54:11,UTC-07:00,71,62,84,33.80,96.64,5.9,1437,132,77,2024-05-06 12:54:29,2024-05-06 19:55:04,64,12.8,379,420,161,109,109,41,590,127,90,61
2024-05-05 15:26:09,2024-05-06 12:54:29,UTC-07:00,11,70,57,34.46,96.67,6.0,1519,124,81,2024-05-05 15:26:09,2024-05-05 19:29:50,42,13.5,217,243,124,44,49,26,511,47,89,50
2024-05-04 14:24:48,2024-05-05 15:26:09,UTC-07:00,75,61,82,33.84,96.15,7.0,1858,147,77,2024-05-04 14:24:48,2024-05-04 21:47:01,85,12.9,406,442,165,105,136,36,480,16,92,44
2024-05-03 11:19:12,2024-05-04 14:24:48,UTC-07:00,72,64,79,33.77,95.60,7.2,1963,123,80,2024-05-03 11:19:12,2024-05-03 19:49:40,95,13.1,460,510,160,132,168,50,485,94,90,47
2024-05-02 12:56:57,2024-05-03 11:19:12,UTC-07:00,,,,,,8.8,1728,146,80,,,,,,,,,,,,,,
2024-05-01 12:58:39,2024-05-02 12:56:57,UTC-07:00,70,62,86,33.80,95.04,9.9,1955,149,79,2024-05-01 12:58:39,2024-05-01 19:54:25,66,12.9,363,415,187,74,102,52,552,88,87,76
2024-04-30 12:56:57,2024-05-01 12:58:39,UTC-07:00,33,69,61,33.50,93.35,7.2,1758,140,81,2024-04-30 12:56:57,2024-04-30 19:56:35,68,13.2,381,418,210,54,117,37,557,127,91,61
2024-04-29 14:24:26,2024-04-30 12:56:57,UTC-07:00,35,60,71,33.49,94.33,14.7,2295,200,84,2024-04-29 14:24:26,2024-04-29 19:54:39,52,12.5,301,330,126,69,106,29,581,82,91,63
2024-04-28 13:35:15,2024-04-29 14:24:26,UTC-07:00,53,60,81,33.10,94.95,15.7,2941,171,85,2024-04-28 13:35:15,2024-04-28 19:32:02,65,13.4,298,354,160,53,85,56,462,0,84,43
2024-04-27 13:26:05,2024-04-28 13:35:15,UTC-07:00,69,60,84,33.54,95.37,6.0,1752,126,70,2024-04-27 13:26:05,2024-04-28 00:09:26,100,12.1,598,638,225,141,232,40,523,61,93,38
2024-04-26 11:23:17,2024-04-27 13:26:05,UTC-07:00,73,62,85,33.40,97.14,6.1,1870,136,78,2024-04-26 11:23:17,2024-04-26 19:29:42,82,12.8,436,486,230,79,127,50,531,70,91,88
2024-04-25 12:17:22,2024-04-26 11:23:17,UTC-07:00,89,60,94,33.30,95.75,4.8,1610,124,76,2024-04-25 12:17:22,2024-04-25 19:29:57,78,12.5,398,432,186,83,129,34,508,45,92,70
2024-04-24 11:13:37,2024-04-25 12:17:22,UTC-07:00,96,55,102,33.48,96.20,6.3,1803,135,75,2024-04-24 11:13:37,2024-04-24 19:39:17,87,12.3,457,495,249,86,122,38,528,63,94,62
2024-04-23 11:13:43,2024-04-24 11:13:37,UTC-07:00,96,56,99,33.70,95.80,7.5,1777,125,73,2024-04-23 11:13:43,2024-04-23 19:06:41,82,12.5,435,472,176,104,155,37,534,60,93,54
2024-04-22 12:49:07,2024-04-23 11:13:43,UTC-07:00,64,61,75,33.20,97.13,11.0,1868,136,81,2024-04-22 12:49:07,2024-04-22 19:04:02,75,12.7,356,372,104,85,167,16,478,127,96,36
