Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-05-18 10:48:47,,UTC-07:00,2024-05-18 10:48:47,2024-05-18 19:50:00,82,12.8,475,541,261,79,135,66,577,116,89,67,false
2024-05-17 12:35:23,2024-05-18 10:48:47,UTC-07:00,2024-05-17 12:35:23,2024-05-17 19:51:49,68,12.6,392,433,181,78,133,41,572,111,90,69,false
2024-05-16 14:02:05,2024-05-17 12:35:23,UTC-07:00,2024-05-16 14:02:05,2024-05-16 19:55:51,59,12.5,325,353,170,55,100,28,549,87,92,63,false
2024-05-15 12:40:13,2024-05-16 14:02:05,UTC-07:00,2024-05-15 12:40:13,2024-05-15 20:00:30,67,13.0,349,440,169,89,91,91,524,63,81,48,false
2024-05-14 15:16:27,2024-05-15 12:40:13,UTC-07:00,2024-05-14 15:16:27,2024-05-14 19:49:57,67,13.2,258,273,170,40,48,15,384,118,94,32,false
2024-05-13 15:09:13,2024-05-14 15:16:27,UTC-07:00,2024-05-14 07:00:50,2024-05-14 11:20:50,34,13.5,196,259,119,36,41,63,580,118,88,,true
2024-05-13 15:09:13,2024-05-14 15:16:27,UTC-07:00,2024-05-13 15:09:13,2024-05-13 19:49:55,49,14.0,230,280,110,71,49,50,467,0,82,40,false
2024-05-12 13:31:26,2024-05-13 15:09:13,UTC-07:00,2024-05-12 13:31:26,2024-05-13 00:02:03,100,12.5,586,628,283,104,199,42,558,95,93,47,false
2024-05-11 11:12:19,2024-05-12 13:31:26,UTC-07:00,2024-05-11 11:12:19,2024-05-11 19:49:59,75,13.3,445,516,220,91,134,71,593,127,86,64,false
2024-05-10 14:04:51,2024-05-11 11:12:19,UTC-07:00,2024-05-10 14:04:51,2024-05-10 19:52:23,52,13.2,307,345,139,75,93,38,587,93,88,77,false
2024-05-09 14:04:28,2024-05-10 14:04:51,UTC-07:00,2024-05-09 14:04:28,2024-05-09 20:09:46,64,13.5,336,365,137,77,122,29,522,61,92,66,false
2024-05-08 13:41:43,2024-05-09 14:04:28,UTC-07:00,2024-05-08 13:41:43,2024-05-08 19:54:42,74,13.2,341,372,153,84,104,31,463,0,91,56,false
2024-05-07 08:54:11,2024-05-08 13:41:43,UTC-07:00,2024-05-07 08:54:11,2024-05-07 21:46:36,100,13.1,630,772,293,146,191,142,567,105,81,38,false
